timestamp,question,primary_model,backup_model,model_used,sql_candidate,success,error_message,user_question,selected_model,attempt_number,fallback_used,generated_sql,sql_valid,sql_error,execution_success,row_count,run_id,final_sql,model_primary,validation_success,error_type,source_tables,latency_seconds,answer_preview,log_type
2026-05-11T17:33:40,please tell me all customers with an order amount of more than 300000 that come from UNITED STATES,gemini-2.5-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite,"SELECT
  c_name
FROM customer
JOIN nation
  ON c_nationkey = n_nationkey
JOIN orders
  ON c_custkey = o_custkey
WHERE
  n_name = 'UNITED STATES' AND o_totalprice > 300000
LIMIT 50",true,,please tell me all customers with an order amount of more than 300000 that come from UNITED STATES,gemini-2.5-flash-lite,1,false,"SELECT
  c_name
FROM customer
JOIN nation
  ON c_nationkey = n_nationkey
JOIN orders
  ON c_custkey = o_custkey
WHERE
  n_name = 'UNITED STATES' AND o_totalprice > 300000
LIMIT 50",true,,true,20,,,,,,,,,
2026-05-11T17:34:49,please tell me all customers with an order amount of more than 300000 that come from UNITED STATES,gemini-2.5-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite,"SELECT
  c.c_name,
  o.o_totalprice,
  r.r_name,
  n.n_name
FROM customer AS c
JOIN nation AS n
  ON c.c_nationkey = n.n_nationkey
JOIN region AS r
  ON n.n_regionkey = r.r_regionkey
JOIN orders AS o
  ON c.c_custkey = o.o_custkey
WHERE
  n.n_name = 'UNITED STATES' AND o.o_totalprice > 300000
LIMIT 50",true,,please tell me all customers with an order amount of more than 300000 that come from UNITED STATES,gemini-2.5-flash-lite,1,false,"SELECT
  c.c_name,
  o.o_totalprice,
  r.r_name,
  n.n_name
FROM customer AS c
JOIN nation AS n
  ON c.c_nationkey = n.n_nationkey
JOIN region AS r
  ON n.n_regionkey = r.r_regionkey
JOIN orders AS o
  ON c.c_custkey = o.o_custkey
WHERE
  n.n_name = 'UNITED STATES' AND o.o_totalprice > 300000
LIMIT 50",true,,true,20,,,,,,,,,
2026-05-11T17:36:44,"In dieser Anfrage sollen Sonderangebots-Kandidaten ermittelt werden: Man
finde die Hersteller, die von bestimmten Teilen (gekennzeichnet durch die Farbe
""forest"") mehr als die Hälfte des kanadischen Jahresabsatzes (von 1994) auf Lager
haben.",gemini-2.5-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite,"SELECT
  ps_partkey
FROM partsupp
WHERE
  ps_suppkey IN (
    SELECT
      s_suppkey
    FROM supplier
    WHERE
      s_nationkey = (
        SELECT
          n_nationkey
        FROM nation
        WHERE
          n_name = 'CANADA'
      )
  )
GROUP BY
  ps_partkey
HAVING
  SUM(ps_availqty) > (
    SELECT
      SUM(l_quantity) * 0.5
    FROM lineitem
    JOIN orders
      ON l_orderkey = o_orderkey
    JOIN part
      ON l_partkey = p_partkey
    JOIN supplier
      ON l_suppkey = s_suppkey
    JOIN nation
      ON s_nationkey = n_nationkey
    WHERE
      n_name = 'CANADA' AND p_name LIKE '%forest%' AND o_orderdate BETWEEN '1994-01-01' AND '1994-12-31'
  )
LIMIT 50",true,,"In dieser Anfrage sollen Sonderangebots-Kandidaten ermittelt werden: Man
finde die Hersteller, die von bestimmten Teilen (gekennzeichnet durch die Farbe
""forest"") mehr als die Hälfte des kanadischen Jahresabsatzes (von 1994) auf Lager
haben.",gemini-2.5-flash-lite,1,false,"SELECT
  ps_partkey
FROM partsupp
WHERE
  ps_suppkey IN (
    SELECT
      s_suppkey
    FROM supplier
    WHERE
      s_nationkey = (
        SELECT
          n_nationkey
        FROM nation
        WHERE
          n_name = 'CANADA'
      )
  )
GROUP BY
  ps_partkey
HAVING
  SUM(ps_availqty) > (
    SELECT
      SUM(l_quantity) * 0.5
    FROM lineitem
    JOIN orders
      ON l_orderkey = o_orderkey
    JOIN part
      ON l_partkey = p_partkey
    JOIN supplier
      ON l_suppkey = s_suppkey
    JOIN nation
      ON s_nationkey = n_nationkey
    WHERE
      n_name = 'CANADA' AND p_name LIKE '%forest%' AND o_orderdate BETWEEN '1994-01-01' AND '1994-12-31'
  )
LIMIT 50",true,,true,50,,,,,,,,,
2026-05-11T17:38:54,"M a n erstelle einen aufsummierten Preisbericht über alle Auftragspositionen, die
spätestens 90 Tage vor dem 1. Dezember 1998 versandt wurden. Die Ausgabe soll nach
RETURNFLAG und LINESTATUS gruppiert und in aufsteigender Reihenfolge nach die-
sen Attributen sortiert werden. Für jede Gruppe sollen die gesamte Menge, der Gesamt-
preis, der ermäßigte Gesamtpreis, der ermäßigte Gesamtpreis inklusive Steuern, die durch-
schnittliche Anzahl, der durchschnittliche Gesamtpreis und der durchschnittliche Nach-
lass und die Anzahl der Auftragspositionen aufgelistet werden.",gemini-2.5-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite,,false,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}","M a n erstelle einen aufsummierten Preisbericht über alle Auftragspositionen, die
spätestens 90 Tage vor dem 1. Dezember 1998 versandt wurden. Die Ausgabe soll nach
RETURNFLAG und LINESTATUS gruppiert und in aufsteigender Reihenfolge nach die-
sen Attributen sortiert werden. Für jede Gruppe sollen die gesamte Menge, der Gesamt-
preis, der ermäßigte Gesamtpreis, der ermäßigte Gesamtpreis inklusive Steuern, die durch-
schnittliche Anzahl, der durchschnittliche Gesamtpreis und der durchschnittliche Nach-
lass und die Anzahl der Auftragspositionen aufgelistet werden.",gemini-2.5-flash-lite,1,false,,false,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",false,0,,,,,,,,,
2026-05-11T17:38:57,"M a n erstelle einen aufsummierten Preisbericht über alle Auftragspositionen, die
spätestens 90 Tage vor dem 1. Dezember 1998 versandt wurden. Die Ausgabe soll nach
RETURNFLAG und LINESTATUS gruppiert und in aufsteigender Reihenfolge nach die-
sen Attributen sortiert werden. Für jede Gruppe sollen die gesamte Menge, der Gesamt-
preis, der ermäßigte Gesamtpreis, der ermäßigte Gesamtpreis inklusive Steuern, die durch-
schnittliche Anzahl, der durchschnittliche Gesamtpreis und der durchschnittliche Nach-
lass und die Anzahl der Auftragspositionen aufgelistet werden.",gemini-2.5-flash-lite,gemini-2.5-flash,gemini-2.5-flash,"SELECT
  l_returnflag,
  l_linestatus,
  SUM(l_quantity) AS sum_qty,
  SUM(l_extendedprice) AS sum_base_price,
  SUM(l_extendedprice * (1 - l_discount)) AS sum_disc_price,
  SUM(l_extendedprice * (1 - l_discount) * (1 + l_tax)) AS sum_charge,
  AVG(l_quantity) AS avg_qty,
  AVG(l_extendedprice) AS avg_price,
  AVG(l_discount) AS avg_disc,
  COUNT(l_orderkey) AS count_order
FROM
  lineitem
WHERE
  l_shipdate <= '1998-09-02'
GROUP BY
  l_returnflag,
  l_linestatus
ORDER BY
  l_returnflag,
  l_linestatus",true,,"M a n erstelle einen aufsummierten Preisbericht über alle Auftragspositionen, die
spätestens 90 Tage vor dem 1. Dezember 1998 versandt wurden. Die Ausgabe soll nach
RETURNFLAG und LINESTATUS gruppiert und in aufsteigender Reihenfolge nach die-
sen Attributen sortiert werden. Für jede Gruppe sollen die gesamte Menge, der Gesamt-
preis, der ermäßigte Gesamtpreis, der ermäßigte Gesamtpreis inklusive Steuern, die durch-
schnittliche Anzahl, der durchschnittliche Gesamtpreis und der durchschnittliche Nach-
lass und die Anzahl der Auftragspositionen aufgelistet werden.",gemini-2.5-flash,1,true,"SELECT
  l_returnflag,
  l_linestatus,
  SUM(l_quantity) AS sum_qty,
  SUM(l_extendedprice) AS sum_base_price,
  SUM(l_extendedprice * (1 - l_discount)) AS sum_disc_price,
  SUM(l_extendedprice * (1 - l_discount) * (1 + l_tax)) AS sum_charge,
  AVG(l_quantity) AS avg_qty,
  AVG(l_extendedprice) AS avg_price,
  AVG(l_discount) AS avg_disc,
  COUNT(l_orderkey) AS count_order
FROM
  lineitem
WHERE
  l_shipdate <= '1998-09-02'
GROUP BY
  l_returnflag,
  l_linestatus
ORDER BY
  l_returnflag,
  l_linestatus",true,,true,4,,,,,,,,,
2026-05-11T17:42:33,"M a n erstelle einen aufsummierten Preisbericht über alle Auftragspositionen, die
spätestens 90 Tage vor dem 1. Dezember 1998 versandt wurden. Die Ausgabe soll nach
RETURNFLAG und LINESTATUS gruppiert und in aufsteigender Reihenfolge nach die-
sen Attributen sortiert werden. Für jede Gruppe sollen die gesamte Menge, der Gesamt-
preis, der ermäßigte Gesamtpreis, der ermäßigte Gesamtpreis inklusive Steuern, die durch-
schnittliche Anzahl, der durchschnittliche Gesamtpreis und der durchschnittliche Nach-
lass und die Anzahl der Auftragspositionen aufgelistet werden.",gemini-2.5-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite,"SELECT
  l_returnflag,
  l_linestatus,
  SUM(l_quantity) AS sum_qty,
  SUM(l_extendedprice) AS sum_base_price,
  SUM(l_extendedprice * (1 - l_discount)) AS sum_disc_price,
  SUM(l_extendedprice * (1 - l_discount) * (1 + l_tax)) AS sum_charge,
  AVG(l_quantity) AS avg_qty,
  AVG(l_extendedprice) AS avg_price,
  AVG(l_discount) AS avg_disc,
  COUNT(*) AS count_order
FROM lineitem
WHERE l_shipdate <= DATE '1998-12-01' - INTERVAL '90 days'
GROUP BY
  l_returnflag,
  l_linestatus
ORDER BY
  l_returnflag,
  l_linestatus",true,,"M a n erstelle einen aufsummierten Preisbericht über alle Auftragspositionen, die
spätestens 90 Tage vor dem 1. Dezember 1998 versandt wurden. Die Ausgabe soll nach
RETURNFLAG und LINESTATUS gruppiert und in aufsteigender Reihenfolge nach die-
sen Attributen sortiert werden. Für jede Gruppe sollen die gesamte Menge, der Gesamt-
preis, der ermäßigte Gesamtpreis, der ermäßigte Gesamtpreis inklusive Steuern, die durch-
schnittliche Anzahl, der durchschnittliche Gesamtpreis und der durchschnittliche Nach-
lass und die Anzahl der Auftragspositionen aufgelistet werden.",gemini-2.5-flash-lite,1,false,"SELECT
  l_returnflag,
  l_linestatus,
  SUM(l_quantity) AS sum_qty,
  SUM(l_extendedprice) AS sum_base_price,
  SUM(l_extendedprice * (1 - l_discount)) AS sum_disc_price,
  SUM(l_extendedprice * (1 - l_discount) * (1 + l_tax)) AS sum_charge,
  AVG(l_quantity) AS avg_qty,
  AVG(l_extendedprice) AS avg_price,
  AVG(l_discount) AS avg_disc,
  COUNT(*) AS count_order
FROM lineitem
WHERE l_shipdate <= DATE '1998-12-01' - INTERVAL '90 days'
GROUP BY
  l_returnflag,
  l_linestatus
ORDER BY
  l_returnflag,
  l_linestatus",true,,true,4,,,,,,,,,
2026-05-11T17:58:26,"Diese Anfrage soll feststellen, ob die Verwendung von billigeren Lieferarten kri-
tische Aufträge negativ beeinflusst, und zwar in der Form, dass den Kunden mehrere
Produkte erst nach dem zugesagten Datum zugeschickt werden. Zu diesem Zweck zählt
die Anfrage für die beiden Lieferarten „MAIL"" und „SHIP"" und getrennt nach den Prio-
ritätskategorien „hoch"" (HIGH, URGENT) und „niedrig"" (alle übrigen) all die Auftrags-
positionen, welche die Kunden i m Laufe des Jahres 1994 tatsächlich erhielten, und die
zu einem Auftrag gehören, bei dem das RECEIPTDATE das COMMITDATE überschrei-
tet, obwohl die Auftragsposition spätestens einen Tag vor dem angesetzten Liefertermin
losgeschickt wurde.",gemini-2.5-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite,"SELECT
  l_shipmode,
  SUM(CASE
    WHEN o_orderpriority IN ('HIGH', 'URGENT') THEN 1
    ELSE 0
  END) AS high_priority_late_deliveries,
  SUM(CASE
    WHEN o_orderpriority NOT IN ('HIGH', 'URGENT') THEN 1
    ELSE 0
  END) AS low_priority_late_deliveries
FROM lineitem
JOIN orders
  ON lineitem.l_orderkey = orders.o_orderkey
WHERE
  l_receiptdate > l_commitdate AND l_shipdate <= (l_commitdate - INTERVAL '1 day') AND l_shipmode IN ('MAIL', 'SHIP') AND EXTRACT(YEAR FROM o_orderdate) = 1994
GROUP BY
  l_shipmode
ORDER BY
  l_shipmode",false,Unknown or disallowed table reference: o_orderdate.,"Diese Anfrage soll feststellen, ob die Verwendung von billigeren Lieferarten kri-
tische Aufträge negativ beeinflusst, und zwar in der Form, dass den Kunden mehrere
Produkte erst nach dem zugesagten Datum zugeschickt werden. Zu diesem Zweck zählt
die Anfrage für die beiden Lieferarten „MAIL"" und „SHIP"" und getrennt nach den Prio-
ritätskategorien „hoch"" (HIGH, URGENT) und „niedrig"" (alle übrigen) all die Auftrags-
positionen, welche die Kunden i m Laufe des Jahres 1994 tatsächlich erhielten, und die
zu einem Auftrag gehören, bei dem das RECEIPTDATE das COMMITDATE überschrei-
tet, obwohl die Auftragsposition spätestens einen Tag vor dem angesetzten Liefertermin
losgeschickt wurde.",gemini-2.5-flash-lite,1,false,"SELECT
  l_shipmode,
  SUM(CASE
    WHEN o_orderpriority IN ('HIGH', 'URGENT') THEN 1
    ELSE 0
  END) AS high_priority_late_deliveries,
  SUM(CASE
    WHEN o_orderpriority NOT IN ('HIGH', 'URGENT') THEN 1
    ELSE 0
  END) AS low_priority_late_deliveries
FROM lineitem
JOIN orders
  ON lineitem.l_orderkey = orders.o_orderkey
WHERE
  l_receiptdate > l_commitdate AND l_shipdate <= (l_commitdate - INTERVAL '1 day') AND l_shipmode IN ('MAIL', 'SHIP') AND EXTRACT(YEAR FROM o_orderdate) = 1994
GROUP BY
  l_shipmode
ORDER BY
  l_shipmode",false,Unknown or disallowed table reference: o_orderdate.,false,0,,,,,,,,,
2026-05-11T17:58:32,"Diese Anfrage soll feststellen, ob die Verwendung von billigeren Lieferarten kri-
tische Aufträge negativ beeinflusst, und zwar in der Form, dass den Kunden mehrere
Produkte erst nach dem zugesagten Datum zugeschickt werden. Zu diesem Zweck zählt
die Anfrage für die beiden Lieferarten „MAIL"" und „SHIP"" und getrennt nach den Prio-
ritätskategorien „hoch"" (HIGH, URGENT) und „niedrig"" (alle übrigen) all die Auftrags-
positionen, welche die Kunden i m Laufe des Jahres 1994 tatsächlich erhielten, und die
zu einem Auftrag gehören, bei dem das RECEIPTDATE das COMMITDATE überschrei-
tet, obwohl die Auftragsposition spätestens einen Tag vor dem angesetzten Liefertermin
losgeschickt wurde.",gemini-2.5-flash-lite,gemini-2.5-flash,gemini-2.5-flash,"SELECT
  l_shipmode,
  SUM(CASE
    WHEN o.o_orderpriority IN ('HIGH', 'URGENT') THEN 1
    ELSE 0",false,No table reference found in SQL.,"Diese Anfrage soll feststellen, ob die Verwendung von billigeren Lieferarten kri-
tische Aufträge negativ beeinflusst, und zwar in der Form, dass den Kunden mehrere
Produkte erst nach dem zugesagten Datum zugeschickt werden. Zu diesem Zweck zählt
die Anfrage für die beiden Lieferarten „MAIL"" und „SHIP"" und getrennt nach den Prio-
ritätskategorien „hoch"" (HIGH, URGENT) und „niedrig"" (alle übrigen) all die Auftrags-
positionen, welche die Kunden i m Laufe des Jahres 1994 tatsächlich erhielten, und die
zu einem Auftrag gehören, bei dem das RECEIPTDATE das COMMITDATE überschrei-
tet, obwohl die Auftragsposition spätestens einen Tag vor dem angesetzten Liefertermin
losgeschickt wurde.",gemini-2.5-flash,1,true,"SELECT
  l_shipmode,
  SUM(CASE
    WHEN o.o_orderpriority IN ('HIGH', 'URGENT') THEN 1
    ELSE 0",false,No table reference found in SQL.,false,0,,,,,,,,,
2026-05-11T17:59:04,"Diese Anfrage soll feststellen, ob die Verwendung von billigeren Lieferarten kri-
tische Aufträge negativ beeinflusst, und zwar in der Form, dass den Kunden mehrere
Produkte erst nach dem zugesagten Datum zugeschickt werden. Zu diesem Zweck zählt
die Anfrage für die beiden Lieferarten „MAIL"" und „SHIP"" und getrennt nach den Prio-
ritätskategorien „hoch"" (HIGH, URGENT) und „niedrig"" (alle übrigen) all die Auftrags-
positionen, welche die Kunden i m Laufe des Jahres 1994 tatsächlich erhielten, und die
zu einem Auftrag gehören, bei dem das RECEIPTDATE das COMMITDATE überschrei-
tet, obwohl die Auftragsposition spätestens einen Tag vor dem angesetzten Liefertermin
losgeschickt wurde.",gemini-2.5-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite,"SELECT
  l_shipmode,
  SUM(CASE
    WHEN o_orderpriority IN ('HIGH', 'URGENT') THEN 1
    ELSE 0
  END) AS high_priority_late_deliveries,
  SUM(CASE
    WHEN o_orderpriority NOT IN ('HIGH', 'URGENT') THEN 1
    ELSE 0
  END) AS low_priority_late_deliveries
FROM lineitem
JOIN orders
  ON lineitem.l_orderkey = orders.o_orderkey
WHERE
  l_receiptdate > l_commitdate AND l_shipdate <= (l_commitdate - INTERVAL '1 day') AND l_shipmode IN ('MAIL', 'SHIP') AND EXTRACT(YEAR FROM o_orderdate) = 1994
GROUP BY
  l_shipmode
ORDER BY
  l_shipmode",false,Unknown or disallowed table reference: o_orderdate.,"Diese Anfrage soll feststellen, ob die Verwendung von billigeren Lieferarten kri-
tische Aufträge negativ beeinflusst, und zwar in der Form, dass den Kunden mehrere
Produkte erst nach dem zugesagten Datum zugeschickt werden. Zu diesem Zweck zählt
die Anfrage für die beiden Lieferarten „MAIL"" und „SHIP"" und getrennt nach den Prio-
ritätskategorien „hoch"" (HIGH, URGENT) und „niedrig"" (alle übrigen) all die Auftrags-
positionen, welche die Kunden i m Laufe des Jahres 1994 tatsächlich erhielten, und die
zu einem Auftrag gehören, bei dem das RECEIPTDATE das COMMITDATE überschrei-
tet, obwohl die Auftragsposition spätestens einen Tag vor dem angesetzten Liefertermin
losgeschickt wurde.",gemini-2.5-flash-lite,1,false,"SELECT
  l_shipmode,
  SUM(CASE
    WHEN o_orderpriority IN ('HIGH', 'URGENT') THEN 1
    ELSE 0
  END) AS high_priority_late_deliveries,
  SUM(CASE
    WHEN o_orderpriority NOT IN ('HIGH', 'URGENT') THEN 1
    ELSE 0
  END) AS low_priority_late_deliveries
FROM lineitem
JOIN orders
  ON lineitem.l_orderkey = orders.o_orderkey
WHERE
  l_receiptdate > l_commitdate AND l_shipdate <= (l_commitdate - INTERVAL '1 day') AND l_shipmode IN ('MAIL', 'SHIP') AND EXTRACT(YEAR FROM o_orderdate) = 1994
GROUP BY
  l_shipmode
ORDER BY
  l_shipmode",false,Unknown or disallowed table reference: o_orderdate.,false,0,,,,,,,,,
2026-05-11T17:59:11,"Diese Anfrage soll feststellen, ob die Verwendung von billigeren Lieferarten kri-
tische Aufträge negativ beeinflusst, und zwar in der Form, dass den Kunden mehrere
Produkte erst nach dem zugesagten Datum zugeschickt werden. Zu diesem Zweck zählt
die Anfrage für die beiden Lieferarten „MAIL"" und „SHIP"" und getrennt nach den Prio-
ritätskategorien „hoch"" (HIGH, URGENT) und „niedrig"" (alle übrigen) all die Auftrags-
positionen, welche die Kunden i m Laufe des Jahres 1994 tatsächlich erhielten, und die
zu einem Auftrag gehören, bei dem das RECEIPTDATE das COMMITDATE überschrei-
tet, obwohl die Auftragsposition spätestens einen Tag vor dem angesetzten Liefertermin
losgeschickt wurde.",gemini-2.5-flash-lite,gemini-2.5-flash,gemini-2.5-flash,"SELECT
  l_shipmode,
  SUM(CASE
    WHEN o.o_orderpriority IN ('HIGH', 'URGENT') THEN 1
    ELSE 0",false,No table reference found in SQL.,"Diese Anfrage soll feststellen, ob die Verwendung von billigeren Lieferarten kri-
tische Aufträge negativ beeinflusst, und zwar in der Form, dass den Kunden mehrere
Produkte erst nach dem zugesagten Datum zugeschickt werden. Zu diesem Zweck zählt
die Anfrage für die beiden Lieferarten „MAIL"" und „SHIP"" und getrennt nach den Prio-
ritätskategorien „hoch"" (HIGH, URGENT) und „niedrig"" (alle übrigen) all die Auftrags-
positionen, welche die Kunden i m Laufe des Jahres 1994 tatsächlich erhielten, und die
zu einem Auftrag gehören, bei dem das RECEIPTDATE das COMMITDATE überschrei-
tet, obwohl die Auftragsposition spätestens einen Tag vor dem angesetzten Liefertermin
losgeschickt wurde.",gemini-2.5-flash,1,true,"SELECT
  l_shipmode,
  SUM(CASE
    WHEN o.o_orderpriority IN ('HIGH', 'URGENT') THEN 1
    ELSE 0",false,No table reference found in SQL.,false,0,,,,,,,,,
